gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1320515002,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3928595c7-0c47-49d1-b343-201a0de1b426,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla beringei,beringei,SUBSPECIES,Gorilla beringei beringei,Gorilla beringei beringei,,RW,Virunga Mountains,,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,,,,,,,,,,,,,4267319,7262070,PRESERVED_SPECIMEN,USNM,MAMM,USNM 545026,No Number,"Helgen, Kristofer M., Research Zoologist (MAM), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,CC0_1_0,,D. Fossey,,,2024-11-02T12:37:05.699Z,StillImage,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
1320502801,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/391fc42ae-9fea-4ed6-b851-a342524201d1,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,diehli,SUBSPECIES,"Gorilla gorilla diehli Matschie, 1903",Gorilla gorilla diehli,,CM,"Mesubia (east Mone), Mone River Forest Reserve",,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,5.88,9.63,,,,,,,1998/10/25,25,10,1998,4267321,2436441,PRESERVED_SPECIMEN,USNM,MAMM,USNM 590960,TSG-026,"Helgen, Kristofer M., Research Zoologist (MAM), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,CC0_1_0,,World Wildlife Fund Takamanda Forest Surveys Project,,,2024-11-02T12:37:12.263Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
1320480482,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/390ff6efd-9e80-4a99-8857-e071603696bf,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla beringei,beringei,SUBSPECIES,Gorilla beringei beringei,Gorilla beringei beringei,,RW,Virunga Mountains,,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,,,,,,,,,,,,,4267319,7262070,PRESERVED_SPECIMEN,USNM,MAMM,USNM 545048,No Number,"Helgen, Kristofer M., Research Zoologist (MAM), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,CC0_1_0,,D. Fossey,,,2024-11-02T12:39:12.664Z,StillImage,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
1320375766,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/38c624ce1-380b-420e-9d3d-e7a58cdd9d62,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,gorilla,SUBSPECIES,Gorilla gorilla gorilla,Gorilla gorilla gorilla,,GA,,,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,,,,,,,,,1904,,,1904,4267318,2436441,PRESERVED_SPECIMEN,USNM,MAMM,USNM 174717,No Number,"Helgen, Kristofer M., Research Zoologist (MAM), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,CC0_1_0,,R. Garner,,,2024-11-02T12:37:04.999Z,StillImage,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
1320374677,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/38c566edd-2dc8-45f0-9ddd-654c6b977d78,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla beringei,beringei,SUBSPECIES,Gorilla beringei beringei,Gorilla beringei beringei,,RW,"Saddle Area Between Mt. Sabinyo and Mt. Gahinga, Slightly North Of A Straight Line Between The Two Peaks In Zaire",,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,,,,,,,,,,,,,4267319,7262070,PRESERVED_SPECIMEN,USNM,MAMM,USNM 397358,G-U,"Helgen, Kristofer M., Research Zoologist (MAM), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,CC0_1_0,,D. Fossey,,,2024-11-02T12:37:04.978Z,StillImage,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
1320357053,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/38b8ed7a2-b2a6-48a3-8f8c-278d512ba5c1,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,gorilla,SUBSPECIES,Gorilla gorilla gorilla,Gorilla gorilla gorilla,,,Captive Specimen: National Zoological Park (NZP),,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,,,,,,,,,1990/7/23,23,7,1990,4267318,2436441,PRESERVED_SPECIMEN,USNM,MAMM,USNM 574138,,"Helgen, Kristofer M., Research Zoologist (MAM), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,CC0_1_0,,,,,2024-11-02T12:37:03.865Z,StillImage,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
1320351567,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/38b51113f-3828-4246-8444-7b3336f158ba,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,gorilla,SUBSPECIES,Gorilla gorilla gorilla,Gorilla gorilla gorilla,,CG,"Goko, Border Area Of Gabon, Cameroon, And Congo",Sangha,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,,,,,,,,,,,,,4267318,2436441,PRESERVED_SPECIMEN,USNM,MAMM,USNM 252578,No Number,"Helgen, Kristofer M., Research Zoologist (MAM), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,CC0_1_0,,,,,2024-11-02T12:39:07.912Z,StillImage,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
1320321898,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/38a0179c4-97c6-4812-a6c2-18ae2d93dd46,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla beringei,beringei,SUBSPECIES,Gorilla beringei beringei,Gorilla beringei beringei,,ZZ,,,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,,,,,,,,,,,,,4267319,7262070,PRESERVED_SPECIMEN,USNM,MAMM,USNM 397364,No Number,"Helgen, Kristofer M., Research Zoologist (MAM), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,CC0_1_0,,J. Matternas & D. Fossey,,,2024-11-02T12:38:50.895Z,StillImage,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
1320297841,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/388ed56f3-90c7-45ff-b7bf-43e53604205c,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla beringei,beringei,SUBSPECIES,Gorilla beringei beringei,Gorilla beringei beringei,,RW,Virunga Mountains,,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,,,,,,,,,,,,,4267319,7262070,PRESERVED_SPECIMEN,USNM,MAMM,USNM 545039,No Number,"Helgen, Kristofer M., Research Zoologist (MAM), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,CC0_1_0,,D. Fossey,,,2024-11-02T12:39:04.934Z,StillImage,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
1320260333,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/387401d94-323f-4613-b547-c136496890f9,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla beringei,beringei,SUBSPECIES,Gorilla beringei beringei,Gorilla beringei beringei,,RW,Virunga Mountains,,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,,,,,,,,,,,,,4267319,7262070,PRESERVED_SPECIMEN,USNM,MAMM,USNM 545037,No Number,"Helgen, Kristofer M., Research Zoologist (MAM), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,CC0_1_0,,D. Fossey,,,2024-11-02T12:38:59.973Z,StillImage,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
1320190400,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/38428d38a-8050-4272-8728-da16ecfe0ecf,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla beringei,beringei,SUBSPECIES,Gorilla beringei beringei,Gorilla beringei beringei,,RW,Virunga Mountains,,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,,,,,,,,,,,,,4267319,7262070,PRESERVED_SPECIMEN,USNM,MAMM,USNM 545040,No Number,"Helgen, Kristofer M., Research Zoologist (MAM), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,CC0_1_0,,D. Fossey,,,2024-11-02T12:37:00.890Z,StillImage,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
1320158608,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/382bd937c-5a3b-44f0-8aa8-1262dc51fc60,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,gorilla,SUBSPECIES,Gorilla gorilla gorilla,Gorilla gorilla gorilla,,CM,South Kamerun,,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,,,,,,,,,,,,,4267318,2436441,PRESERVED_SPECIMEN,USNM,MAMM,USNM 176217,No Number,"Helgen, Kristofer M., Research Zoologist (MAM), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,CC0_1_0,,K. Haberer,,,2024-11-02T12:37:02.497Z,StillImage,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
1320099617,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/38021221f-26ad-46fd-a6ca-0799f546d4bf,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla beringei,beringei,SUBSPECIES,Gorilla beringei beringei,Gorilla beringei beringei,,RW,"Mount Sabinyo, Southern Slopes",,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,,,,,,,,,,,,,4267319,7262070,PRESERVED_SPECIMEN,USNM,MAMM,USNM 397354,2,"Helgen, Kristofer M., Research Zoologist (MAM), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,CC0_1_0,,D. Fossey,,,2024-11-02T12:37:00.178Z,StillImage,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
1320091502,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/37fc7475a-10ad-4e2e-9b88-42e45923f515,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,gorilla,SUBSPECIES,Gorilla gorilla gorilla,Gorilla gorilla gorilla,,ZZ,,,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,,,,,,,,,,,,,4267318,2436441,PRESERVED_SPECIMEN,USNM,MAMM,USNM 154554,No Number,"Helgen, Kristofer M., Research Zoologist (MAM), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,CC0_1_0,,V. Fric,,,2024-11-02T12:39:00.568Z,StillImage,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
1320078964,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/37f38ef02-8d68-4726-87f8-0af2daf2464c,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,gorilla,SUBSPECIES,Gorilla gorilla gorilla,Gorilla gorilla gorilla,,CM,South Kamerun,,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,,,,,,,,,,,,,4267318,2436441,PRESERVED_SPECIMEN,USNM,MAMM,USNM 176208,No Number,"Helgen, Kristofer M., Research Zoologist (MAM), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,CC0_1_0,,K. Haberer,,,2024-11-02T12:36:58.235Z,StillImage,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
