"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","latitude","longitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"602",3384923392,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/97225502","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla gorilla","gorilla","SUBSPECIES","Gorilla gorilla gorilla","Gorilla gorilla gorilla","","GA","","Haut-Ogooué","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-1.739865,12.841499,31444,NA,NA,NA,NA,NA,"2020-07-25T14:03Z",25,7,2020,4267318,2436441,"HUMAN_OBSERVATION","iNaturalist","Observations","97225502","","bureaubenjamin","2021-10-05T07:52:31","CC_BY_NC_4_0","bureaubenjamin","bureaubenjamin","","","2024-11-25T06:38:03.283Z","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
"603",3384915476,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/96343192","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla gorilla","gorilla","SUBSPECIES","Gorilla gorilla gorilla","Gorilla gorilla gorilla","","GA","","Haut-Ogooué","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-1.711025,12.93043,31444,NA,NA,NA,NA,NA,"2021-09-14T13:57Z",14,9,2021,4267318,2436441,"HUMAN_OBSERVATION","iNaturalist","Observations","96343192","","bureaubenjamin","2021-09-27T08:21:24","CC_BY_NC_4_0","bureaubenjamin","bureaubenjamin","","","2024-11-25T07:08:45.390Z","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
"604",3384881762,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/96682972","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla gorilla","gorilla","SUBSPECIES","Gorilla gorilla gorilla","Gorilla gorilla gorilla","","GA","","Haut-Ogooué","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-1.626846,12.868074,31444,NA,NA,NA,NA,NA,"2020-07-19T16:19Z",19,7,2020,4267318,2436441,"HUMAN_OBSERVATION","iNaturalist","Observations","96682972","","bureaubenjamin","2021-09-30T14:04:14","CC_BY_NC_4_0","bureaubenjamin","bureaubenjamin","","","2024-11-25T07:08:30.141Z","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
"605",3384846817,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/96670283","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla gorilla","gorilla","SUBSPECIES","Gorilla gorilla gorilla","Gorilla gorilla gorilla","","GA","","Haut-Ogooué","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-1.711255,12.898349,31444,NA,NA,NA,NA,NA,"2020-06-09T17:07Z",9,6,2020,4267318,2436441,"HUMAN_OBSERVATION","iNaturalist","Observations","96670283","","bureaubenjamin","2021-09-30T10:31:42","CC_BY_NC_4_0","bureaubenjamin","bureaubenjamin","","","2024-11-25T06:38:53.462Z","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
"606",3384534970,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/96770937","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla beringei","beringei","SUBSPECIES","Gorilla beringei beringei","Gorilla beringei beringei","","UG","","Kabale","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-1.196707,29.786248,31448,NA,NA,NA,NA,NA,"2021-08-06T09:32",6,8,2021,4267319,7262070,"HUMAN_OBSERVATION","iNaturalist","Observations","96770937","","Josef Stulz","2021-10-01T10:55:42","CC_BY_NC_4_0","Josef Stulz","Josef Stulz","","","2024-11-25T07:11:42.819Z","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
"607",3384437462,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/96347041","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla gorilla","gorilla","SUBSPECIES","Gorilla gorilla gorilla","Gorilla gorilla gorilla","","GA","","Haut-Ogooué","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-1.738712,12.884102,31444,NA,NA,NA,NA,NA,"2021-09-13T09:33Z",13,9,2021,4267318,2436441,"HUMAN_OBSERVATION","iNaturalist","Observations","96347041","","bureaubenjamin","2021-09-27T09:47:54","CC_BY_NC_4_0","bureaubenjamin","bureaubenjamin","","","2024-11-25T07:12:03.781Z","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
"608",3384197422,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/96341908","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla gorilla","gorilla","SUBSPECIES","Gorilla gorilla gorilla","Gorilla gorilla gorilla","","GA","","Haut-Ogooué","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-1.721151,12.8942,31444,NA,NA,NA,NA,NA,"2021-09-13T07:50Z",13,9,2021,4267318,2436441,"HUMAN_OBSERVATION","iNaturalist","Observations","96341908","","bureaubenjamin","2021-09-27T07:57:22","CC_BY_NC_4_0","bureaubenjamin","bureaubenjamin","","","2024-11-25T06:38:21.634Z","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
"609",3384193547,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/97423830","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla beringei","beringei","SUBSPECIES","Gorilla beringei beringei","Gorilla beringei beringei","","UG","","Kanungu","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-0.849874,29.618697,31449,NA,NA,NA,NA,NA,"2019-07-12T02:16",12,7,2019,4267319,7262070,"HUMAN_OBSERVATION","iNaturalist","Observations","97423830","","Annette","2021-10-07T06:07:08","CC_BY_NC_4_0","Annette","Annette","","","2024-11-25T06:38:31.734Z","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
"610",3356355724,"1da75725-1eb5-4e17-b586-ffad7b783987","http://arctos.database.museum/guid/BYU:Mamm:33010?seid=4830206","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla gorilla","","SPECIES","Gorilla gorilla (Savage, 1847)","Gorilla gorilla","","US","Hogle Zoo, Salt Lake City","Utah","PRESENT",NA,"fd70f580-4ce2-11db-b80e-b8a03c50a862",40.74976,-111.815929,433,NA,NA,NA,NA,NA,"2009/3/23",23,3,2009,2436441,2436441,"PRESERVED_SPECIMEN","BYU","Mamm","BYU:Mamm:33010","","Skip Skidmore","2009-03-23T00:00:00","CC0_1_0","","Collector(s): Skip Skidmore; Preparator(s): Skip Skidmore","","","2024-11-01T01:02:33.117Z","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
"611",3355640878,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/93604304","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla beringei","beringei","SUBSPECIES","Gorilla beringei beringei","Gorilla beringei beringei","","UG","","Kanungu","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-0.888137,29.786399,31449,NA,NA,NA,NA,NA,"2004-07-17T07:45",17,7,2004,4267319,7262070,"HUMAN_OBSERVATION","iNaturalist","Observations","93604304","","Michal Sloviak","2021-09-05T08:18:37","CC_BY_NC_4_0","Phil Benstead","Phil Benstead","","","2024-11-25T06:38:24.636Z","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
